"CT County Subdivisions,Year",Year,Town,Total crime Rate,"Crime, Total crime, Number","Total estimated population, Number"
"9,011,342,501,999",1999,Groton,2618.59,1045,39907
"9,013,859,502,007",2007,Willington,1113.7,67,6016
"9,005,879,102,004",2004,Woodbury,830.79,79,9509
"9,005,804,902,009",2009,Watertown,1819.07,408,22429
"9,005,513,502,010",2010,New Hartford,573.89,40,6970
"9,001,336,202,009",2009,Greenwich,943.37,577,61164
"9,009,520,701,998",1998,New Haven,10721.85,13255,123626
"9,005,864,402,007",2007,Winchester,2303.73,255,11069
"9,009,475,352,002",2002,Milford,3868.62,2027,52396
"9,011,339,002,009",2009,Griswold,1056.01,125,11837
"9,011,716,702,010",2010,Sprague,1105.9,33,2984
"9,015,881,902,004",2004,Woodstock,532.06,40,7518
"9,009,696,402,006",2006,Southbury,908.67,176,19369
"9,009,828,702,009",2009,West Haven,3461.01,1912,55244
"9,007,816,802,009",2009,Westbrook,1134.88,78,6873
"9,013,720,902,010",2010,Stafford,678.41,82,12087
"9,015,867,902,007",2007,Windham,562.23,138,24545
"9,011,523,501,998",1998,New London,5886.02,1511,25671
"9,011,342,502,009",2009,Groton,1997.81,801,40094
"9,013,010,802,005",2005,Andover,,,3170
"9,003,705,502,006",2006,Southington,1957.68,817,41733
"9,011,523,502,010",2010,New London,4326.57,1195,27620
"9,001,834,302,009",2009,Weston,619.77,63,10165
"9,001,508,602,000",2000,New Fairfield,530.35,74,13953
"9,003,870,002,007",2007,Windsor,2145.68,618,28802
"9,011,716,702,006",2006,Sprague,1107.75,33,2979
"9,005,526,301,998",1998,New Milford,1994.76,541,27121
"9,001,730,702,010",2010,Stamford,1899.01,2329,122643
"9,009,012,202,005",2005,Ansonia,,,18902
"9,013,859,502,009",2009,Willington,613.29,37,6033
"9,005,526,302,010",2010,New Milford,1481.77,417,28142
"9,009,349,502,009",2009,Guilford,1759.66,392,22277
"9,007,473,602,002",2002,Middletown,2512.31,1107,44063
"9,003,870,702,007",2007,Windsor Locks,1844.36,228,12362
"9,013,720,902,006",2006,Stafford,772.82,91,11775
"9,007,407,102,002",2002,Killingworth,670.04,41,6119
"9,015,734,202,010",2010,Sterling,1018.28,39,3830
"9,003,521,401,998",1998,Newington,3262.13,956,29306
"9,001,863,702,009",2009,Wilton,593.82,107,18019
"9,003,276,002,002",2002,Farmington,2406.07,577,23981
"9,007,352,302,009",2009,Haddam,534.82,44,8227
"9,011,737,702,010",2010,Stonington,1477.49,274,18545
"9,015,014,302,005",2005,Ashford,,,4208
"9,001,730,702,006",2006,Stamford,2257.95,2719,120419
"9,007,470,802,002",2002,Middlefield,1295.03,55,4247
"9,003,020,602,005",2005,Avon,,,16965
"9,009,875,602,007",2007,Wolcott,1970.32,320,16241
"9,001,529,801,998",1998,Newtown,1170.55,293,25031
"9,009,356,502,009",2009,Hamden,2120.39,1284,60555
"9,001,741,902,010",2010,Stratford,2907.52,1494,51384
"9,009,877,002,007",2007,Woodbridge,1268.36,114,8988
"9,003,689,402,000",2000,Simsbury,1050.19,244,23234
"9,001,505,802,000",2000,New Canaan,737.3,143,19395
"9,005,027,602,005",2005,Barkhamsted,,,3647
"9,015,734,202,006",2006,Sterling,847.94,30,3538
"9,015,405,002,002",2002,Killingly,2426.13,404,16652
"9,015,360,002,009",2009,Hampton,485.7,9,1853
"9,005,534,701,998",1998,Norfolk,1566.27,26,1660
