"CT County Subdivisions,Year",Year,Town,Total property crime Rate,"Crime, Total property crime, Number","Total estimated population, Number"
"9,003,122,702,010",2010,Canton,1136.81,117,10292
"9,003,447,002,007",2007,Manchester,3458.59,1978,57191
"9,001,505,802,002",2002,New Canaan,524.04,102,19464
"9,005,109,402,003",2003,Canaan,976.04,11,1127
"9,005,109,402,010",2010,Canaan,1053.48,13,1234
"9,011,802,802,005",2005,Waterford,,,19335
"9,011,159,102,010",2010,Colchester,1095.34,176,16068
"9,005,160,502,001",2001,Colebrook,679.35,10,1472
"9,005,804,902,005",2005,Watertown,,,22088
"9,003,312,401,998",1998,Glastonbury,1590.54,507,31876
"9,015,121,302,010",2010,Canterbury,720.97,37,5132
"9,005,879,102,001",2001,Woodbury,1088.83,101,9276
"9,009,073,102,008",2008,Branford,2866.07,807,28157
"9,011,621,502,008",2008,Preston,1292.92,61,4718
"9,005,160,502,010",2010,Colebrook,808.08,12,1485
"9,009,499,502,004",2004,Naugatuck,1608.27,504,31338
"9,011,159,102,001",2001,Colchester,1516.7,223,14703
"9,003,458,202,007",2007,Marlborough,451.9,28,6196
"9,003,312,402,004",2004,Glastonbury,1328.43,437,32896
"9,003,825,902,005",2005,West Hartford,,,63429
"9,003,705,502,003",2003,Southington,2619.69,1067,40730
"9,009,877,002,001",2001,Woodbridge,1925.65,173,8984
"9,005,322,901,998",1998,Goshen,667.41,18,2697
"9,013,062,602,009",2009,Bolton,662.12,33,4984
"9,013,062,602,003",2003,Bolton,1238.51,62,5006
"9,007,153,502,010",2010,Clinton,2963.8,393,13260
"9,003,504,402,004",2004,New Britain,4110.52,2968,72205
"9,007,153,502,001",2001,Clinton,1395.77,183,13111
"9,011,068,202,000",2000,Bozrah,1697.07,40,2357
"9,009,875,602,001",2001,Wolcott,2356.46,362,15362
"9,009,622,902,008",2008,Prospect,852.67,79,9265
"9,001,505,802,004",2004,New Canaan,952.28,186,19532
"9,003,326,402,004",2004,Granby,1156.61,124,10721
"9,011,426,002,003",2003,Ledyard,838.06,124,14796
"9,003,020,602,003",2003,Avon,1423.21,235,16512
"9,003,326,401,998",1998,Granby,1816.95,188,10347
"92,010",2010,Connecticut,2196.89,78519,3574097
"9,007,470,802,007",2007,Middlefield,803.12,35,4358
"9,007,143,002,001",2001,Chester,955.41,36,3768
"9,003,276,002,006",2006,Farmington,2757.5,680,24660
"9,007,816,802,005",2005,Westbrook,,,6615
"9,007,262,702,006",2006,Essex,877.19,58,6612
"9,013,762,902,003",2003,Tolland,648.78,89,13718
"9,005,322,902,004",2004,Goshen,676.4,19,2809
"9,003,870,702,001",2001,Windsor Locks,2117.63,256,12089
"9,005,082,102,008",2008,Bridgewater,687.29,12,1746
"9,001,634,802,008",2008,Redding,567.93,51,8980
"9,001,508,602,004",2004,New Fairfield,258.55,36,13924
"9,001,336,201,998",1998,Greenwich,1558.08,952,61101
"9,009,445,602,003",2003,Madison,995.5,179,17981
"9,013,062,602,000",2000,Bolton,697.63,35,5017
"9,001,266,202,006",2006,Fairfield,1917.1,1123,58578
"9,009,141,602,001",2001,Cheshire,1219.64,349,28615
"9,003,059,102,003",2003,Bloomfield,3142.47,624,19857
"9,001,089,802,008",2008,Brookfield,1012.64,165,16294
"9,015,599,802,000",2000,Plainfield,2106.85,308,14619
"9,003,870,002,001",2001,Windsor,2051.7,581,28318
"9,013,164,002,010",2010,Columbia,966.27,53,5485
"9,005,513,502,004",2004,New Hartford,745.23,48,6441
"9,011,342,502,004",2004,Groton,2125.53,850,39990
"9,011,339,002,004",2004,Griswold,745.67,84,11265
"9,011,339,001,998",1998,Griswold,1276.95,138,10807
"9,001,834,302,005",2005,Weston,,,10108
"9,009,520,702,004",2004,New Haven,6365.45,8026,126087
"9,001,336,202,004",2004,Greenwich,1063.33,650,61129
"9,003,059,102,000",2000,Bloomfield,3160.26,619,19587
"9,001,835,002,005",2005,Westport,,,26070
"9,015,867,902,001",2001,Windham,710.02,164,23098
"9,001,486,202,007",2007,Monroe,999.54,194,19409
"9,009,349,502,004",2004,Guilford,1587.96,346,21789
"9,015,138,102,001",2001,Chaplin,2083.33,47,2256
"9,003,101,002,003",2003,Burlington,1231.96,105,8523
"9,011,299,102,006",2006,Franklin,1324.85,25,1887
"9,011,342,501,998",1998,Groton,2445.69,976,39907
"9,003,312,402,006",2006,Glastonbury,1197.35,400,33407
"9,009,475,352,007",2007,Milford,3610.59,1900,52623
"9,003,849,002,005",2005,Wethersfield,,,26470
"9,003,122,702,001",2001,Canton,1168.61,105,8985
"9,011,523,502,004",2004,New London,3410.08,902,26451
"9,005,864,402,001",2001,Winchester,1081.89,116,10722
"9,003,326,402,006",2006,Granby,1283.46,140,10908
"9,005,049,302,003",2003,Bethlehem,776.31,27,3478
"9,009,828,702,005",2005,West Haven,,,53962
"9,003,504,402,007",2007,New Britain,5013.34,3645,72706
"9,015,014,302,003",2003,Ashford,1224.78,51,4164
"9,009,349,501,998",1998,Guilford,2060.94,441,21398
"9,013,859,502,005",2005,Willington,,,6000
"9,015,121,302,001",2001,Canterbury,696.79,33,4736
"9,005,526,302,004",2004,New Milford,1122.45,309,27529
"9,009,356,502,004",2004,Hamden,1964.74,1150,58532
"9,005,049,302,000",2000,Bethlehem,350.67,12,3422
"9,007,224,901,999",1999,East Hampton,981.13,131,13352
"9,005,322,902,006",2006,Goshen,593.58,17,2864
"9,001,505,802,007",2007,New Canaan,947.29,186,19635
"9,011,339,002,006",2006,Griswold,939.7,108,11493
"9,007,473,602,007",2007,Middletown,2736.26,1267,46304
"9,001,863,702,001",2001,Wilton,1154.11,204,17676
"9,007,352,301,998",1998,Haddam,1243.54,89,7157
"9,001,741,902,003",2003,Stratford,4238.26,2136,50398
"9,015,360,002,004",2004,Hampton,333.33,6,1800
"9,003,101,002,008",2008,Burlington,649.85,59,9079
"9,013,859,502,001",2001,Willington,1072.57,64,5967
"9,001,863,702,005",2005,Wilton,,,17848
"9,001,508,602,007",2007,New Fairfield,302.09,42,13903
"9,007,352,302,004",2004,Haddam,524.04,40,7633
"9,015,091,902,003",2003,Brooklyn,1282.74,96,7484
"9,005,864,402,005",2005,Winchester,,,10953
"9,015,091,902,008",2008,Brooklyn,899.66,72,8003
"9,005,109,402,001",2001,Canaan,912.41,10,1096
"9,009,356,501,998",1998,Hamden,3591.45,2044,56913
"9,011,342,502,006",2006,Groton,2143.29,858,40032
"9,011,423,902,003",2003,Lebanon,1110,78,7027
"9,001,336,202,006",2006,Greenwich,881.54,539,61143
"9,005,513,502,007",2007,New Hartford,820.28,55,6705
"9,005,664,202,000",2000,Salisbury,1206.94,48,3977
"9,009,499,502,007",2007,Naugatuck,1981.01,626,31600
"9,015,867,902,005",2005,Windham,,,24063
"9,003,084,902,008",2008,Bristol,2420.77,1462,60394
"9,003,849,002,001",2001,Wethersfield,2101.78,553,26311
"9,003,101,002,001",2001,Burlington,638.48,53,8301
"9,003,370,702,004",2004,Hartford,8928.27,10969,122857
"9,015,360,001,998",1998,Hampton,739.48,13,1758
"9,005,664,202,008",2008,Salisbury,871.17,33,3788
"9,009,538,902,004",2004,North Branford,1432.01,202,14106
"9,003,371,402,004",2004,Hartland,97.42,2,2053
"9,001,835,002,001",2001,Westport,2161.7,558,25813
"9,003,521,402,004",2004,Newington,3140.1,936,29808
"9,009,349,502,006",2006,Guilford,1455.6,320,21984
"9,001,529,802,004",2004,Newtown,979.15,255,26043
"9,001,047,202,003",2003,Bethel,1256.72,229,18222
"9,007,352,302,006",2006,Haddam,787.8,62,7870
"9,011,442,102,003",2003,Lyme,937.65,20,2133
"9,003,870,002,005",2005,Windsor,,,28641
"9,003,370,701,998",1998,Hartford,8475.22,10304,121578
"9,005,372,802,004",2004,Harwinton,552.79,30,5427
"9,001,834,302,001",2001,Weston,746.19,75,10051
"9,003,870,702,005",2005,Windsor Locks,,,12271
"9,015,121,302,008",2008,Canterbury,733.54,37,5044
"9,009,012,202,003",2003,Ansonia,2174.49,408,18763
"9,001,047,202,000",2000,Bethel,896.66,162,18067
"9,001,089,802,003",2003,Brookfield,1289.31,205,15900
"9,009,520,702,007",2007,New Haven,5820.23,7446,127933
"9,009,676,102,008",2008,Seymour,1360.04,222,16323
"9,009,548,702,004",2004,North Haven,2178.36,511,23458
"9,015,091,902,001",2001,Brooklyn,1291.74,94,7277
"9,003,371,401,998",1998,Hartland,546.72,11,2012
"9,007,407,102,003",2003,Killingworth,632.09,39,6170
"9,009,356,502,006",2006,Hamden,2945.69,1748,59341
"9,005,526,302,007",2007,New Milford,1138.81,317,27836
"9,001,089,802,001",2001,Brookfield,921.04,145,15743
"9,013,379,102,004",2004,Hebron,586.28,53,9040
"9,005,160,501,999",1999,Colebrook,1291.64,19,1471
"9,009,875,602,005",2005,Wolcott,,,15948
"9,011,555,002,004",2004,North Stonington,801.88,41,5113
"9,007,816,802,001",2001,Westbrook,1714.65,109,6357
"9,005,534,702,004",2004,Norfolk,892.86,15,1680
"9,009,877,002,005",2005,Woodbridge,,,8987
"9,005,372,801,998",1998,Harwinton,700.36,37,5283
"9,005,540,302,004",2004,North Canaan,989.21,33,3336
"9,003,371,402,006",2006,Hartland,192.96,4,2073
"9,005,402,902,004",2004,Kent,929.11,27,2906
"9,005,879,102,005",2005,Woodbury,,,9587
"9,001,560,602,000",2000,Norwalk,3503.27,2906,82951
"9,001,529,802,007",2007,Newtown,611.92,164,26801
"9,009,045,802,000",2000,Bethany,595.24,30,5040
"9,005,160,502,008",2008,Colebrook,877.19,13,1482
"9,011,523,502,007",2007,New London,3547.25,959,27035
"9,003,370,702,006",2006,Hartford,7145.17,8824,123496
"9,013,010,802,003",2003,Andover,1026.96,32,3116
"9,013,379,101,998",1998,Hebron,975.61,84,8610
"9,003,084,902,001",2001,Bristol,2490.68,1497,60104
"9,003,521,402,007",2007,Newington,3465.3,1046,30185
"9,015,360,002,006",2006,Hampton,384.4,7,1821
"9,005,082,102,001",2001,Bridgewater,992.28,18,1814
"9,003,825,902,001",2001,West Hartford,2750.29,1748,63557
"9,009,696,402,003",2003,Southbury,980.6,186,18968
"9,015,881,902,005",2005,Woodstock,,,7593
"9,009,828,702,001",2001,West Haven,4100.23,2160,52680
"9,003,084,902,003",2003,Bristol,3469.19,2088,60187
"9,005,804,902,001",2001,Watertown,1954.38,425,21746
"9,009,045,802,003",2003,Bethany,577.26,30,5197
"9,005,402,901,998",1998,Kent,1364.59,39,2858
"9,007,222,801,999",1999,East Haddam,924.04,77,8333
"9,011,570,402,004",2004,Old Lyme,855.04,64,7485
"9,015,405,002,004",2004,Killingly,1087.28,183,16831
"9,009,583,002,000",2000,Oxford,855.31,84,9821
"9,013,010,802,006",2006,Andover,594.49,19,3196
"9,007,407,102,004",2004,Killingworth,289.34,18,6221
"9,003,043,002,000",2000,Berlin,2031.29,370,18215
"9,001,080,702,001",2001,Bridgeport,4465.75,6252,139999
"9,015,881,902,002",2002,Woodstock,610.58,45,7370
"9,011,562,702,004",2004,Norwich,2812.48,1065,37867
"9,001,639,702,008",2008,Ridgefield,339.62,83,24439
"9,015,405,001,998",1998,Killingly,1681.64,277,16472
"9,011,802,802,001",2001,Waterford,3152.85,605,19189
"9,005,172,402,008",2008,Cornwall,773.01,11,1423
"9,001,560,602,004",2004,Norwalk,3382.85,2842,84012
"9,011,423,902,004",2004,Lebanon,594.31,42,7067
"9,007,573,202,004",2004,Old Saybrook,2355.34,243,10317
"9,015,405,002,006",2006,Killingly,858.27,146,17011
"9,011,426,002,004",2004,Ledyard,647.21,96,14833
"9,009,073,102,001",2001,Branford,3141.49,899,28617
"9,009,012,202,006",2006,Ansonia,2034.68,386,18971
"9,009,576,002,004",2004,Orange,3335.31,451,13522
"9,009,800,702,001",2001,Waterbury,5880.22,6326,107581
"9,009,032,502,000",2000,Beacon Falls,1296.23,68,5246
"9,005,534,702,007",2007,Norfolk,708.38,12,1694
"9,005,879,102,002",2002,Woodbury,1079.87,101,9353
"9,009,538,902,007",2007,North Branford,1423.86,203,14257
"9,005,433,702,004",2004,Litchfield,811.84,68,8376
"9,005,433,702,003",2003,Litchfield,813.3,68,8361
"9,005,797,202,001",2001,Washington,862.55,31,3594
"9,015,014,302,006",2006,Ashford,567.51,24,4229
"9,009,583,002,004",2004,Oxford,665.69,73,10966
"9,009,548,702,007",2007,North Haven,2536.17,603,23776
"9,007,180,802,008",2008,Cromwell,2286.25,315,13778
"9,007,407,101,998",1998,Killingworth,747.76,45,6018
"9,011,423,901,998",1998,Lebanon,984.51,68,6907
"9,005,540,302,007",2007,North Canaan,1142.51,38,3326
"9,011,442,102,004",2004,Lyme,782.69,17,2172
"9,005,372,802,006",2006,Harwinton,1018.55,56,5498
"9,005,607,502,000",2000,Plymouth,1925.39,224,11634
"9,011,068,202,001",2001,Bozrah,1468.12,35,2384
"9,015,599,802,004",2004,Plainfield,1131.72,169,14933
"9,011,432,302,004",2004,Lisbon,2178.6,91,4177
"9,015,758,702,003",2003,Thompson,1458.24,132,9052
"9,005,795,102,001",2001,Warren,313.73,4,1275
"9,007,407,102,006",2006,Killingworth,347.99,22,6322
"9,001,560,602,007",2007,Norwalk,2230.95,1892,84807
"9,011,426,001,998",1998,Ledyard,783.01,115,14687
"9,013,379,102,006",2006,Hebron,561.8,52,9256
"9,009,787,402,001",2001,Wallingford,1880.33,813,43237
"9,005,027,602,006",2006,Barkhamsted,924.67,34,3677
"9,003,601,202,004",2004,Plainville,3368.99,589,17483
"9,009,445,602,004",2004,Madison,1037.62,187,18022
"9,013,062,602,001",2001,Bolton,837.82,42,5013
"9,003,020,602,006",2006,Avon,1209.87,208,17192
"9,003,220,701,999",1999,East Granby,1264.49,60,4745
"9,011,555,002,007",2007,North Stonington,960.61,50,5205
"9,011,432,302,006",2006,Lisbon,2836.88,120,4230
"9,009,877,002,002",2002,Woodbridge,1124.22,101,8984
"9,011,432,301,998",1998,Lisbon,860.16,35,4069
"9,009,032,502,006",2006,Beacon Falls,977.65,56,5728
"9,015,405,002,003",2003,Killingly,1612.81,270,16741
"9,003,043,002,003",2003,Berlin,2319.62,434,18710
"9,003,059,102,001",2001,Bloomfield,2988.26,588,19677
"9,011,786,002,001",2001,Voluntown,1261.83,32,2536
"9,011,426,002,006",2006,Ledyard,1395.5,208,14905
"9,005,607,502,004",2004,Plymouth,1431.22,170,11878
"9,013,449,102,004",2004,Mansfield,928.46,214,23049
"9,011,737,702,003",2003,Stonington,1994.7,361,18098
"9,013,782,502,001",2001,Vernon,2800.35,789,28175
"9,003,043,002,006",2006,Berlin,2202.44,423,19206
"9,005,433,701,998",1998,Litchfield,1070.23,89,8316
"9,011,570,402,007",2007,Old Lyme,768.82,58,7544
"9,009,032,502,003",2003,Beacon Falls,929.47,51,5487
"9,009,045,802,006",2006,Bethany,765.78,41,5354
"9,005,049,302,001",2001,Bethlehem,755.59,26,3441
"9,015,610,302,004",2004,Pomfret,527.9,21,3978
"9,011,442,102,006",2006,Lyme,444.44,10,2250
"9,005,433,702,006",2006,Litchfield,939.8,79,8406
"9,013,778,302,001",2001,Union,423.13,3,709
"9,005,679,602,008",2008,Sharon,1028.73,29,2819
"9,005,027,602,000",2000,Barkhamsted,915.86,32,3494
"9,003,447,002,004",2004,Manchester,3972.21,2230,56140
"9,011,442,101,998",1998,Lyme,1140.87,23,2016
"9,005,082,102,003",2003,Bridgewater,334.26,6,1795
"9,001,185,002,008",2008,Danbury,2040.56,1626,79684
"9,007,618,002,004",2004,Portland,1382.44,125,9042
"9,009,465,202,004",2004,Meriden,3727.19,2210,59294
"9,009,676,102,000",2000,Seymour,1540.05,238,15454
"9,001,047,202,001",2001,Bethel,811.3,147,18119
"9,001,047,202,006",2006,Bethel,789.03,145,18377
"9,011,621,502,004",2004,Preston,786.73,37,4703
"9,009,576,002,007",2007,Orange,3508.26,482,13739
"9,003,020,602,000",2000,Avon,1111.67,176,15832
"9,001,772,002,001",2001,Trumbull,2818.05,970,34421
"9,009,445,601,998",1998,Madison,1388.73,248,17858
"9,007,573,202,007",2007,Old Saybrook,2305.45,237,10280
"9,003,601,202,000",2000,Plainville,2948.98,511,17328
"9,009,875,602,002",2002,Wolcott,1463.76,227,15508
"9,005,765,702,001",2001,Torrington,2298.98,812,35320
"9,005,049,302,006",2006,Bethlehem,566.09,20,3533
"9,009,045,802,001",2001,Bethany,490.97,25,5092
"9,005,027,602,003",2003,Barkhamsted,920.25,33,3586
"9,003,870,702,002",2002,Windsor Locks,1911.98,232,12134
"9,005,402,902,003",2003,Kent,1347.62,39,2894
"9,015,734,202,003",2003,Sterling,1054.85,35,3318
"9,009,622,902,004",2004,Prospect,1012.69,91,8986
"9,015,014,302,000",2000,Ashford,683.26,28,4098
"9,001,080,702,003",2003,Bridgeport,5423.62,7644,140939
"9,013,062,602,006",2006,Bolton,880.88,44,4995
"9,003,458,202,004",2004,Marlborough,935.36,56,5987
"9,007,208,101,999",1999,Durham,1101.55,73,6627
"9,003,447,001,998",1998,Manchester,4472.05,2448,54740
"9,003,043,002,001",2001,Berlin,2568.01,472,18380
"9,005,494,602,007",2007,Morris,592.72,14,2362
"9,009,469,402,004",2004,Middlebury,1362.12,94,6901
"9,015,627,102,004",2004,Putnam,378.99,35,9235
"9,009,012,202,000",2000,Ansonia,1390.54,258,18554
"9,013,762,902,001",2001,Tolland,412.39,55,13337
"9,013,449,101,998",1998,Mansfield,1312.74,272,20720
"9,009,445,602,006",2006,Madison,1038.39,188,18105
"9,001,634,802,004",2004,Redding,869.57,75,8625
"9,007,473,602,004",2004,Middletown,2875.95,1293,44959
"9,015,758,702,001",2001,Thompson,738.59,66,8936
"9,013,379,102,003",2003,Hebron,817.19,73,8933
"9,009,032,502,001",2001,Beacon Falls,901.24,48,5326
"9,015,599,802,007",2007,Plainfield,725.16,110,15169
"9,013,010,802,000",2000,Andover,757.58,23,3036
"9,003,458,202,006",2006,Marlborough,1077.38,66,6126
"9,009,073,102,006",2006,Branford,2569.9,727,28289
"9,005,757,302,003",2003,Thomaston,1457.08,111,7618
"9,003,458,201,998",1998,Marlborough,1138.55,65,5709
"9,009,073,102,003",2003,Branford,3313.91,944,28486
"9,005,757,302,001",2001,Thomaston,1379.13,104,7541
"9,011,562,702,007",2007,Norwich,2432.36,953,39180
"9,007,191,302,008",2008,Deep River,778.38,36,4625
"9,011,432,302,003",2003,Lisbon,1301.2,54,4150
"9,009,469,402,006",2006,Middlebury,982.46,70,7125
"9,003,870,002,002",2002,Windsor,1880.41,534,28398
"9,015,881,901,999",1999,Woodstock,498.55,36,7221
"9,007,470,802,004",2004,Middlefield,1118.36,48,4292
"9,003,653,702,004",2004,Rocky Hill,1939.67,362,18663
"9,005,027,602,001",2001,Barkhamsted,964.54,34,3525
"9,009,465,201,998",1998,Meriden,3190.03,1858,58244
"9,009,576,002,000",2000,Orange,3385.48,448,13233
"9,005,797,202,000",2000,Washington,723.03,26,3596
"9,005,607,502,007",2007,Plymouth,2570.48,310,12060
"9,003,020,602,001",2001,Avon,934.06,150,16059
"9,001,486,202,004",2004,Monroe,1013.44,196,19340
"9,001,639,702,004",2004,Ridgefield,349.4,84,24041
"9,003,745,402,001",2001,Suffield,1169.21,161,13770
"9,005,372,802,003",2003,Harwinton,1279.91,69,5391
"9,011,489,002,004",2004,Montville,622.49,118,18956
"9,005,879,101,999",1999,Woodbury,761.04,70,9198
"9,005,082,102,006",2006,Bridgewater,509.63,9,1766
"9,009,469,401,998",1998,Middlebury,1209.11,78,6451
"9,005,659,302,004",2004,Roxbury,1601.1,35,2186
"9,009,195,501,999",1999,Derby,3203.94,397,12391
"9,009,475,352,003",2003,Milford,3628.84,1903,52441
"9,003,084,902,006",2006,Bristol,2805.46,1692,60311
"9,001,741,902,001",2001,Stratford,2577.97,1292,50117
"9,015,014,302,001",2001,Ashford,509.71,21,4120
"9,011,068,202,003",2003,Bozrah,1066.45,26,2438
"9,009,583,002,007",2007,Oxford,972.6,115,11824
"9,001,080,702,006",2006,Bridgeport,4908.36,6987,142349
"9,007,470,802,006",2006,Middlefield,1083.95,47,4336
"9,015,867,902,002",2002,Windham,587,137,23339
"9,015,627,102,008",2008,Putnam,337.98,32,9468
"9,003,745,402,003",2003,Suffield,1668.19,237,14207
"9,009,475,352,004",2004,Milford,3351.31,1759,52487
"9,011,737,702,001",2001,Stonington,1958.82,352,17970
"9,003,059,102,006",2006,Bloomfield,3269.4,658,20126
"9,009,475,352,006",2006,Milford,3376,1775,52577
"9,015,610,302,007",2007,Pomfret,340.47,14,4112
"9,015,218,602,008",2008,Eastford,348.23,6,1723
"9,005,172,401,999",1999,Cornwall,2510.46,36,1434
"9,005,494,602,004",2004,Morris,1027.4,24,2336
"9,011,786,002,008",2008,Voluntown,540.96,14,2588
"9,009,012,202,001",2001,Ansonia,1734.32,323,18624
"9,015,674,002,008",2008,Scotland,1122.93,19,1692
"9,009,465,202,006",2006,Meriden,3529.04,2111,59818
"9,011,662,102,004",2004,Salem,603.77,24,3975
"9,007,180,802,000",2000,Cromwell,2354.13,303,12871
"9,003,447,002,006",2006,Manchester,3858.13,2193,56841
"9,009,195,502,008",2008,Derby,2742.19,351,12800
"9,003,689,402,003",2003,Simsbury,1055.02,246,23317
"9,015,734,202,001",2001,Sterling,882.72,28,3172
"9,011,489,002,007",2007,Montville,809.8,156,19264
"9,001,238,902,008",2008,Easton,416.33,31,7446
"9,015,091,902,006",2006,Brooklyn,808.21,63,7795
"9,015,138,102,008",2008,Chaplin,610.29,14,2294
"9,001,089,802,006",2006,Brookfield,1041.09,168,16137
"9,003,825,902,002",2002,West Hartford,2819.36,1791,63525
"9,011,423,902,006",2006,Lebanon,545.61,39,7148
"9,005,664,202,004",2004,Salisbury,721.09,28,3883
"9,013,010,802,001",2001,Andover,620.31,19,3063
"91,999",1999,Connecticut,2926.33,99658,3405565
"9,011,068,202,006",2006,Bozrah,1190.95,30,2519
"9,015,674,002,004",2004,Scotland,738.92,12,1624
"9,001,730,702,001",2001,Stamford,2392.91,2815,117639
"9,011,621,502,007",2007,Preston,1166.49,55,4715
"9,001,486,202,006",2006,Monroe,799.55,155,19386
"9,003,101,002,006",2006,Burlington,632.27,56,8857
"9,009,141,602,008",2008,Cheshire,1047.5,305,29117
"9,005,795,102,008",2008,Warren,70.42,1,1420
"9,009,676,102,004",2004,Seymour,1315.46,209,15888
"9,003,653,702,008",2008,Rocky Hill,1348.14,261,19360
"9,011,489,002,006",2006,Montville,1289.08,247,19161
"9,001,080,702,008",2008,Bridgeport,4308.77,6174,143289
"9,007,473,602,006",2006,Middletown,3210.05,1472,45856
"9,013,253,602,008",2008,Ellington,491.17,74,15066
"9,011,342,502,000",2000,Groton,2137.47,853,39907
"92,008",2008,Connecticut,2469.84,87442,3540391
"9,015,627,102,007",2007,Putnam,446.38,42,9409
"9,013,720,902,001",2001,Stafford,808.08,92,11385
"9,009,622,902,007",2007,Prospect,641.58,59,9196
"9,003,259,902,008",2008,Enfield,2300.85,1030,44766
"9,005,109,402,006",2006,Canaan,767.26,9,1173
"9,005,402,902,006",2006,Kent,921.19,27,2931
"9,015,881,902,000",2000,Woodstock,623.18,45,7221
"9,005,679,602,004",2004,Sharon,656.53,19,2894
"9,005,659,302,008",2008,Roxbury,1028.16,23,2237
"9,005,494,602,006",2006,Morris,1104.97,26,2353
"9,013,164,002,008",2008,Columbia,873.28,47,5382
"9,003,713,902,008",2008,South Windsor,1689.59,430,25450
"9,007,222,802,008",2008,East Haddam,1360.54,122,8967
"9,001,634,802,007",2007,Redding,551.06,49,8892
"9,007,352,302,002",2002,Haddam,811.36,60,7395
"9,007,618,002,007",2007,Portland,981.13,91,9275
"9,007,262,702,008",2008,Essex,902.66,60,6647
"9,005,879,102,000",2000,Woodbury,739.29,68,9198
"9,013,449,102,006",2006,Mansfield,764.02,185,24214
"9,009,800,702,008",2008,Waterbury,5155.49,5658,109747
"9,001,681,702,004",2004,Shelton,1318.37,510,38684
"9,011,662,102,008",2008,Salem,757.58,31,4092
"9,011,716,702,001",2001,Sprague,975.77,29,2972
"9,001,188,502,008",2008,Darien,1024.04,210,20507
"9,003,601,202,007",2007,Plainville,3431.82,604,17600
"9,009,469,402,003",2003,Middlebury,1694.17,115,6788
"9,009,696,402,008",2008,Southbury,824.97,162,19637
"9,013,178,002,008",2008,Coventry,1175.61,144,12249
"9,001,639,702,007",2007,Ridgefield,382.09,93,24340
"9,003,705,502,001",2001,Southington,2191.6,878,40062
"9,011,716,702,008",2008,Sprague,972.83,29,2981
"9,009,499,502,006",2006,Naugatuck,1913.5,603,31513
"9,009,877,002,000",2000,Woodbridge,1558.5,140,8983
"9,011,159,102,008",2008,Colchester,843.64,133,15765
"9,015,121,302,006",2006,Canterbury,726.39,36,4956
"9,001,683,102,004",2004,Sherman,187.72,7,3729
"9,003,689,402,008",2008,Simsbury,967.77,227,23456
"9,003,504,402,006",2006,New Britain,4507.92,3270,72539
"9,003,220,702,008",2008,East Granby,1302.55,66,5067
"9,003,122,702,006",2006,Canton,1328.39,129,9711
"9,003,705,502,008",2008,Southington,2358.43,1000,42401
"9,003,226,302,008",2008,East Hartford,3205.22,1632,50917
"9,003,653,702,007",2007,Rocky Hill,1662.67,319,19186
"9,009,696,402,001",2001,Southbury,1251.27,234,18701
"9,007,208,102,008",2008,Durham,773.91,56,7236
"9,003,276,002,008",2008,Farmington,2728,682,25000
"9,015,138,102,006",2006,Chaplin,700.83,16,2283
"9,003,122,702,008",2008,Canton,1259.75,126,10002
"9,005,804,902,008",2008,Watertown,1597.82,357,22343
"9,003,689,402,004",2004,Simsbury,933.82,218,23345
"9,013,692,202,008",2008,Somers,329.21,37,11239
"9,001,505,802,006",2006,New Canaan,984.64,193,19601
"9,009,875,602,000",2000,Wolcott,2017.75,307,15215
"9,013,178,002,000",2000,Coventry,964.88,111,11504
"9,009,229,102,008",2008,East Haven,2816.51,818,29043
"9,005,659,302,007",2007,Roxbury,674.46,15,2224
"9,001,508,602,006",2006,New Fairfield,373.83,52,13910
"9,001,730,702,008",2008,Stamford,1762.51,2142,121531
"9,001,266,202,008",2008,Fairfield,1844.35,1088,58991
"9,003,713,902,001",2001,South Windsor,990.14,243,24542
"9,005,757,302,008",2008,Thomaston,1651.73,129,7810
"9,011,802,802,008",2008,Waterford,2607.49,507,19444
"9,013,692,202,004",2004,Somers,517.18,56,10828
"9,005,664,202,007",2007,Salisbury,1259.18,48,3812
"9,009,349,502,002",2002,Guilford,1773.72,383,21593
"9,009,141,602,006",2006,Cheshire,876.65,254,28974
"9,007,262,702,002",2002,Essex,810.27,53,6541
"9,011,234,002,008",2008,East Lyme,992.03,188,18951
"9,011,662,102,007",2007,Salem,516.86,21,4063
"9,003,870,702,000",2000,Windsor Locks,2067.59,249,12043
"9,015,734,202,008",2008,Sterling,651.47,24,3684
"9,003,312,402,008",2008,Glastonbury,937.58,318,33917
"9,013,692,202,001",2001,Somers,674.9,71,10520
"9,015,758,702,008",2008,Thompson,642.26,60,9342
"9,009,828,702,008",2008,West Haven,2889.5,1587,54923
"9,003,713,902,004",2004,South Windsor,1648.55,411,24931
"9,005,513,502,006",2006,New Hartford,770.74,51,6617
"9,005,109,402,008",2008,Canaan,914.38,11,1203
"9,007,143,002,006",2006,Chester,667.69,26,3894
"9,005,765,702,008",2008,Torrington,2058.26,744,36147
"9,003,248,002,008",2008,East Windsor,3837.33,418,10893
"9,009,676,102,007",2007,Seymour,1381.52,224,16214
"9,009,520,702,006",2006,New Haven,6023.5,7669,127318
"9,007,224,902,008",2008,East Hampton,1158.15,151,13038
"9,011,299,102,008",2008,Franklin,1837.27,35,1905
"9,003,689,402,001",2001,Simsbury,1014.53,236,23262
"9,007,143,002,008",2008,Chester,1039.55,41,3944
"9,003,825,902,008",2008,West Hartford,2692.16,1705,63332
