"CT County Subdivisions,Year",Year,Town,Total property crime Rate,"Crime, Total property crime, Number","Total estimated population, Number"
"9,013,778,302,006",2006,Union,759.49,6,790
"9,001,772,002,006",2006,Trumbull,1591.71,562,35308
"9,011,570,401,998",1998,Old Lyme,1525.79,113,7406
"9,013,782,502,010",2010,Vernon,945.89,276,29179
"9,009,073,102,005",2005,Branford,,,28355
"9,003,043,002,008",2008,Berlin,2457,480,19536
"9,009,576,002,010",2010,Orange,2815.99,393,13956
"9,013,062,601,999",1999,Bolton,896.95,45,5017
"9,009,045,802,008",2008,Bethany,787.83,43,5458
"9,013,782,502,006",2006,Vernon,1131.1,325,28733
"9,011,489,002,000",2000,Montville,1213.2,225,18546
"9,005,494,602,000",2000,Morris,434.59,10,2301
"9,007,573,201,998",1998,Old Saybrook,2942.03,305,10367
"9,001,529,802,010",2010,Newtown,758.35,209,27560
"9,009,583,002,010",2010,Oxford,701.73,89,12683
"9,013,379,102,002",2002,Hebron,815.86,72,8825
"9,001,080,702,005",2005,Bridgeport,,,141879
"9,001,266,202,002",2002,Fairfield,2027.6,1171,57753
"9,003,326,401,999",1999,Granby,1623.66,168,10347
"9,011,432,302,009",2009,Lisbon,2551.61,110,4311
"9,005,082,102,005",2005,Bridgewater,,,1776
"9,011,786,002,006",2006,Voluntown,816.17,21,2573
"9,009,576,001,998",1998,Orange,4496.33,595,13233
"9,011,426,002,009",2009,Ledyard,885.78,133,15015
"9,005,049,302,008",2008,Bethlehem,448.18,16,3570
"9,009,787,402,006",2006,Wallingford,2041.05,904,44291
"9,001,486,202,000",2000,Monroe,665.04,128,19247
"9,001,047,202,008",2008,Bethel,936.1,173,18481
"9,005,433,702,009",2009,Litchfield,934.8,79,8451
"9,003,084,902,005",2005,Bristol,,,60270
"9,009,538,902,010",2010,North Branford,1943.5,280,14407
"9,015,360,002,003",2003,Hampton,1117.32,20,1790
"9,011,442,102,009",2009,Lyme,675.96,16,2367
"9,009,583,001,998",1998,Oxford,997.86,98,9821
"9,003,059,102,008",2008,Bloomfield,2738.11,556,20306
"9,005,795,102,006",2006,Warren,362.84,5,1378
"9,009,445,602,009",2009,Madison,982.01,179,18228
"9,009,475,352,000",2000,Milford,3567.54,1866,52305
"9,001,089,802,005",2005,Brookfield,,,16058
"9,001,508,602,010",2010,New Fairfield,482.67,67,13881
"9,005,607,502,010",2010,Plymouth,2213.51,271,12243
"9,003,601,202,010",2010,Plainville,3364.19,596,17716
"9,007,153,501,999",1999,Clinton,1115.01,146,13094
"9,013,062,602,008",2008,Bolton,581.51,29,4987
"9,015,599,801,998",1998,Plainfield,2120.53,310,14619
"9,009,465,202,002",2002,Meriden,4235.23,2489,58769
"9,011,786,002,010",2010,Voluntown,806.76,21,2603
"9,015,091,902,005",2005,Brooklyn,,,7692
"9,007,473,602,000",2000,Middletown,3328.93,1437,43167
"9,015,610,302,010",2010,Pomfret,729.93,31,4247
"9,003,447,002,009",2009,Manchester,3523.86,2040,57891
"9,011,068,202,008",2008,Bozrah,1399.14,36,2573
"9,009,800,702,010",2010,Waterbury,4209.63,4646,110366
"9,005,797,202,006",2006,Washington,474.2,17,3585
"9,015,599,802,010",2010,Plainfield,350.54,54,15405
"9,009,787,402,010",2010,Wallingford,1739.23,785,45135
"9,011,570,402,010",2010,Old Lyme,631.33,48,7603
"9,015,405,001,999",1999,Killingly,1639.15,270,16472
"9,007,618,002,010",2010,Portland,746.74,71,9508
"9,009,465,202,008",2008,Meriden,3385.65,2043,60343
"9,003,101,002,005",2005,Burlington,,,8746
"9,011,802,802,010",2010,Waterford,2582.36,504,19517
"9,009,800,702,006",2006,Waterbury,5533.87,6039,109128
"9,009,548,702,010",2010,North Haven,2502.8,603,24093
"9,013,449,102,009",2009,Mansfield,839.72,218,25961
"9,005,795,102,010",2010,Warren,410.68,6,1461
"9,007,573,202,010",2010,Old Saybrook,2929.12,300,10242
"9,011,802,802,006",2006,Waterford,2844.46,551,19371
"9,003,521,402,010",2010,Newington,2663.44,814,30562
"9,011,786,002,003",2003,Voluntown,470.4,12,2551
"9,005,804,902,010",2010,Watertown,1807.76,407,22514
"9,003,713,902,000",2000,South Windsor,966.74,236,24412
"9,009,469,402,008",2008,Middlebury,857.14,63,7350
"9,005,797,202,010",2010,Washington,1062.05,38,3578
"9,005,109,402,005",2005,Canaan,,,1158
"9,005,804,902,006",2006,Watertown,1970.87,437,22173
"9,009,622,902,010",2010,Prospect,818.71,77,9405
"9,007,470,802,008",2008,Middlefield,1164.12,51,4381
"9,003,458,202,009",2009,Marlborough,789.27,50,6335
"9,015,121,302,005",2005,Canterbury,,,4912
"9,013,010,801,998",1998,Andover,691.7,21,3036
"9,001,560,602,010",2010,Norwalk,2204.36,1887,85603
"9,009,465,202,009",2009,Meriden,3453.45,2093,60606
"9,003,825,902,006",2006,West Hartford,2426.02,1538,63396
"9,005,534,702,010",2010,Norfolk,819.19,14,1709
"9,007,473,602,008",2008,Middletown,3561.34,1665,46752
"9,009,828,702,010",2010,West Haven,2519.62,1400,55564
"9,007,573,202,000",2000,Old Saybrook,2710.52,281,10367
"9,009,469,402,009",2009,Middlebury,710.17,53,7463
"9,009,012,201,998",1998,Ansonia,2231.32,414,18554
"9,003,122,702,005",2005,Canton,,,9566
"9,009,828,702,006",2006,West Haven,3281.01,1781,54282
"9,001,634,802,010",2010,Redding,818.96,75,9158
"9,009,475,352,008",2008,Milford,3774.59,1988,52668
"9,007,816,802,010",2010,Westbrook,951.28,66,6938
"9,015,138,102,005",2005,Chaplin,,,2278
"9,003,825,902,010",2010,West Hartford,2315.55,1465,63268
"9,011,621,502,010",2010,Preston,1142.62,54,4726
"9,007,470,802,009",2009,Middlefield,840.34,37,4403
"9,005,402,901,999",1999,Kent,1154.65,33,2858
"9,015,014,301,998",1998,Ashford,878.48,36,4098
"9,001,639,702,010",2010,Ridgefield,353.11,87,24638
"9,001,486,202,008",2008,Monroe,946.84,184,19433
"9,001,834,302,010",2010,Weston,668.04,68,10179
"9,009,141,602,005",2005,Cheshire,,,28902
"9,007,816,802,006",2006,Westbrook,419.16,28,6680
"9,007,473,602,009",2009,Middletown,3199.15,1510,47200
"9,001,834,302,006",2006,Weston,602.65,61,10122
"9,003,653,702,010",2010,Rocky Hill,1471.41,290,19709
"9,003,020,601,998",1998,Avon,1749.62,277,15832
"9,001,835,002,010",2010,Westport,1496.72,395,26391
"9,007,143,002,005",2005,Chester,,,3869
"9,015,627,102,010",2010,Putnam,2420.7,232,9584
"9,011,489,002,008",2008,Montville,950.12,184,19366
"9,005,797,202,002",2002,Washington,1391.98,50,3592
"9,001,835,002,006",2006,Westport,1484.66,388,26134
"9,005,494,602,008",2008,Morris,759.17,18,2371
"9,009,475,352,009",2009,Milford,3522.78,1857,52714
"9,005,027,601,998",1998,Barkhamsted,1402.4,49,3494
"9,001,486,202,009",2009,Monroe,873.77,170,19456
"9,001,185,002,000",2000,Danbury,2605.28,1950,74848
"9,007,153,502,005",2005,Clinton,,,13177
"9,013,379,101,999",1999,Hebron,743.32,64,8610
"9,009,499,502,008",2008,Naugatuck,1944.01,616,31687
"9,013,859,502,010",2010,Willington,711.8,43,6041
"9,011,159,102,005",2005,Colchester,,,15310
"9,003,849,002,006",2006,Wethersfield,2342.6,621,26509
"9,009,032,501,999",1999,Beacon Falls,743.42,39,5246
"9,011,489,002,009",2009,Montville,765.32,149,19469
"9,013,859,502,006",2006,Willington,565.91,34,6008
"9,009,032,501,998",1998,Beacon Falls,1239.04,65,5246
"9,003,504,402,008",2008,New Britain,4822.15,3514,72872
"9,001,863,702,010",2010,Wilton,537.04,97,18062
"9,005,160,502,005",2005,Colebrook,,,1478
"9,003,849,002,010",2010,Wethersfield,1814.91,484,26668
"9,005,494,602,009",2009,Morris,798.65,19,2379
"9,003,043,001,998",1998,Berlin,2130.11,388,18215
"9,001,863,702,006",2006,Wilton,849.64,152,17890
"9,001,505,802,008",2008,New Canaan,782.96,154,19669
"9,007,191,301,999",1999,Deep River,1388.29,64,4610
"9,013,164,002,005",2005,Columbia,,,5228
"9,009,499,502,009",2009,Naugatuck,1797.01,571,31775
"9,005,372,801,999",1999,Harwinton,719.29,38,5283
"9,005,795,102,002",2002,Warren,540.54,7,1295
"9,009,045,801,998",1998,Bethany,1250,63,5040
"9,001,508,602,008",2008,New Fairfield,734.08,102,13895
"9,015,867,902,010",2010,Windham,2469.53,624,25268
"92,005",2005,Connecticut,,,3489831
"9,005,864,402,006",2006,Winchester,2370.36,261,11011
"9,003,504,402,009",2009,New Britain,4483.91,3275,73039
"9,013,449,102,003",2003,Mansfield,1094.94,246,22467
"9,001,047,201,998",1998,Bethel,830.24,150,18067
"9,003,870,002,010",2010,Windsor,1745.63,507,29044
"9,005,172,402,005",2005,Cornwall,,,1427
"9,015,867,902,006",2006,Windham,440.26,107,24304
"9,005,513,502,008",2008,New Hartford,618.19,42,6794
"9,003,870,002,006",2006,Windsor,1901.05,546,28721
"9,009,520,702,008",2008,New Haven,6334.6,8143,128548
"9,001,505,802,009",2009,New Canaan,776.49,153,19704
"9,005,049,301,998",1998,Bethlehem,409.12,14,3422
"9,009,787,402,002",2002,Wallingford,2451.21,1065,43448
"9,001,508,602,009",2009,New Fairfield,532.83,74,13888
