"CT County Subdivisions,Year",Year,Town,Juvenile arrests Rate,"Juvenile arrests, Total arrests, 10 to 17 years, Number","Total population, 10 to 17 years, Number"
"9,011,786,002,005",2005,Voluntown,,,
"9,009,787,401,999",1999,Wallingford,,,
"9,013,379,102,008",2008,Hebron,1726.62,24,1390
"9,003,870,002,001",2001,Windsor,,,
"9,009,032,502,006",2006,Beacon Falls,3369.07,22,653
"9,003,689,402,006",2006,Simsbury,1975.82,67,3391
"9,001,863,702,002",2002,Wilton,,,
"9,005,659,302,007",2007,Roxbury,1200,3,250
"9,007,143,002,004",2004,Chester,1511.34,6,397
"9,011,802,801,998",1998,Waterford,,,
"9,009,499,502,009",2009,Naugatuck,6079.2,218,3586
"9,005,864,402,002",2002,Winchester,,,
"9,009,073,102,005",2005,Branford,,,
"9,003,870,702,001",2001,Windsor Locks,,,
"9,011,662,102,005",2005,Salem,,,
"9,005,322,902,002",2002,Goshen,,,
"9,001,080,702,005",2005,Bridgeport,,,
"9,005,513,502,009",2009,New Hartford,857.84,7,816
"9,005,797,201,999",1999,Washington,,,
"9,011,432,302,003",2003,Lisbon,1145.04,6,524
"9,007,153,502,004",2004,Clinton,6328.23,91,1438
"9,005,804,901,998",1998,Watertown,,,
"9,003,458,202,008",2008,Marlborough,258.06,2,775
"9,009,875,602,001",2001,Wolcott,,,
"9,015,360,001,999",1999,Hampton,,,
"9,009,800,701,999",1999,Waterbury,,,
"9,015,867,902,002",2002,Windham,,,
"9,001,683,102,007",2007,Sherman,0,0,463
"9,001,730,702,006",2006,Stamford,3216.27,348,10820
"9,015,360,002,004",2004,Hampton,966.18,2,207
"9,011,159,102,004",2004,Colchester,3036.54,59,1943
"9,001,681,702,001",2001,Shelton,,,
"9,003,084,902,005",2005,Bristol,,,
"9,009,877,002,001",2001,Woodbridge,,,
"9,003,122,702,004",2004,Canton,5432.78,59,1086
"9,013,164,002,004",2004,Columbia,4568.53,27,591
"9,003,870,002,002",2002,Windsor,,,
"9,011,802,801,999",1999,Waterford,,,
"9,003,825,901,998",1998,West Hartford,,,
"9,005,082,102,000",2000,Bridgewater,,,
"9,005,679,602,005",2005,Sharon,,,
"9,009,877,002,000",2000,Woodbridge,,,
"9,001,089,802,005",2005,Brookfield,,,
"9,005,879,102,001",2001,Woodbury,,,
"9,015,674,002,005",2005,Scotland,,,
"9,009,828,701,998",1998,West Haven,,,
"9,003,870,702,002",2002,Windsor Locks,,,
"9,005,526,302,009",2009,New Milford,1352.54,46,3401
"9,001,681,702,006",2006,Shelton,2339.46,98,4189
"9,005,804,901,999",1999,Watertown,,,
"9,011,442,102,003",2003,Lyme,469.48,1,213
"9,009,875,602,002",2002,Wolcott,,,
"9,015,091,902,005",2005,Brooklyn,,,
"9,015,881,902,001",2001,Woodstock,,,
"9,005,659,302,005",2005,Roxbury,,,
"9,013,178,002,004",2004,Coventry,2395.62,35,1461
"92,004",2004,Connecticut,6463.67,24656,381455
"9,007,816,801,998",1998,Westbrook,,,
"9,009,045,802,006",2006,Bethany,851.06,6,705
"9,003,504,402,008",2008,New Britain,13212.37,983,7440
"9,001,683,102,006",2006,Sherman,646.55,3,464
"9,003,825,901,999",1999,West Hartford,,,
"9,005,402,901,999",1999,Kent,,,
"9,013,010,802,002",2002,Andover,,,
"9,003,745,402,006",2006,Suffield,1429.46,23,1609
"9,007,180,802,004",2004,Cromwell,9031.32,124,1373
"9,005,879,102,002",2002,Woodbury,,,
"9,009,469,402,006",2006,Middlebury,908.06,8,881
"9,013,692,202,006",2006,Somers,1403.51,16,1140
"9,001,834,301,998",1998,Weston,,,
"9,011,523,502,009",2009,New London,7998.38,197,2463
"9,015,881,902,002",2002,Woodstock,,,
"9,003,122,702,005",2005,Canton,,,
"9,009,012,202,002",2002,Ansonia,,,
"9,015,627,102,006",2006,Putnam,1284.58,13,1012
"9,007,352,302,002",2002,Haddam,,,
"9,015,138,102,005",2005,Chaplin,,,
"9,009,538,902,009",2009,North Branford,3119.38,52,1667
"9,009,828,701,999",1999,West Haven,,,
"9,005,049,302,006",2006,Bethlehem,683.37,3,439
"9,001,185,002,004",2004,Danbury,5641.17,388,6878
"9,001,835,001,998",1998,Westport,,,
"9,011,489,002,008",2008,Montville,2605.21,52,1996
"9,015,014,302,002",2002,Ashford,,,
"9,005,109,402,000",2000,Canaan,,,
"9,007,816,801,999",1999,Westbrook,,,
"9,009,012,202,003",2003,Ansonia,6319.51,125,1978
"9,011,555,002,008",2008,North Stonington,3658.54,21,574
"9,009,141,602,005",2005,Cheshire,,,
"9,009,469,402,008",2008,Middlebury,657.17,6,913
