"CT County Subdivisions,Year",Year,Town,Total violent crime Rate,"Crime, Total violent crime, Number","Total estimated population, Number"
"9,011,570,402,010",2010,Old Lyme,65.76,5,7603
"9,015,405,001,999",1999,Killingly,552.45,91,16472
"9,007,618,002,010",2010,Portland,126.21,12,9508
"9,009,465,202,008",2008,Meriden,285.04,172,60343
"9,003,101,002,005",2005,Burlington,,,8746
"9,011,802,802,010",2010,Waterford,235.69,46,19517
"9,009,800,702,006",2006,Waterbury,373.87,408,109128
"9,009,548,702,010",2010,North Haven,74.71,18,24093
"9,013,449,102,009",2009,Mansfield,30.82,8,25961
"9,005,795,102,010",2010,Warren,0,0,1461
"9,007,573,202,010",2010,Old Saybrook,107.4,11,10242
"9,011,802,802,006",2006,Waterford,191.01,37,19371
"9,003,521,402,010",2010,Newington,104.71,32,30562
"9,011,786,002,003",2003,Voluntown,39.2,1,2551
"9,005,804,902,010",2010,Watertown,133.25,30,22514
"9,003,713,902,000",2000,South Windsor,86.02,21,24412
"9,009,469,402,008",2008,Middlebury,27.21,2,7350
"9,005,797,202,010",2010,Washington,0,0,3578
"9,005,109,402,005",2005,Canaan,,,1158
"9,005,804,902,006",2006,Watertown,76.67,17,22173
"9,009,622,902,010",2010,Prospect,21.27,2,9405
"9,007,470,802,008",2008,Middlefield,68.48,3,4381
"9,003,458,202,009",2009,Marlborough,0,0,6335
"9,015,121,302,005",2005,Canterbury,,,4912
"9,013,010,801,998",1998,Andover,32.94,1,3036
"9,001,560,602,010",2010,Norwalk,400.69,343,85603
"9,009,465,202,009",2009,Meriden,285.45,173,60606
"9,003,825,902,006",2006,West Hartford,173.51,110,63396
"9,005,534,702,010",2010,Norfolk,0,0,1709
"9,007,473,602,008",2008,Middletown,166.84,78,46752
"9,009,828,702,010",2010,West Haven,770.28,428,55564
"9,007,573,202,000",2000,Old Saybrook,202.57,21,10367
"9,009,469,402,009",2009,Middlebury,40.2,3,7463
"9,009,012,201,998",1998,Ansonia,819.23,152,18554
"9,003,122,702,005",2005,Canton,,,9566
"9,009,828,702,006",2006,West Haven,322.39,175,54282
"9,001,634,802,010",2010,Redding,0,0,9158
"9,009,475,352,008",2008,Milford,129.11,68,52668
"9,007,816,802,010",2010,Westbrook,14.41,1,6938
"9,015,138,102,005",2005,Chaplin,,,2278
"9,003,825,902,010",2010,West Hartford,96.42,61,63268
"9,011,621,502,010",2010,Preston,105.8,5,4726
"9,007,470,802,009",2009,Middlefield,0,0,4403
"9,005,402,901,999",1999,Kent,104.97,3,2858
"9,015,014,301,998",1998,Ashford,244.02,10,4098
"9,001,639,702,010",2010,Ridgefield,12.18,3,24638
"9,001,486,202,008",2008,Monroe,87.48,17,19433
"9,001,834,302,010",2010,Weston,9.82,1,10179
"9,009,141,602,005",2005,Cheshire,,,28902
"9,007,816,802,006",2006,Westbrook,0,0,6680
"9,007,473,602,009",2009,Middletown,125,59,47200
"9,001,834,302,006",2006,Weston,9.88,1,10122
"9,003,653,702,010",2010,Rocky Hill,40.59,8,19709
"9,003,020,601,998",1998,Avon,31.58,5,15832
"9,001,835,002,010",2010,Westport,49.26,13,26391
"9,007,143,002,005",2005,Chester,,,3869
"9,015,627,102,010",2010,Putnam,333.89,32,9584
"9,011,489,002,008",2008,Montville,87.78,17,19366
"9,005,797,202,002",2002,Washington,27.84,1,3592
"9,001,835,002,006",2006,Westport,72.7,19,26134
"9,005,494,602,008",2008,Morris,42.18,1,2371
"9,009,475,352,009",2009,Milford,157.45,83,52714
"9,005,027,601,998",1998,Barkhamsted,171.72,6,3494
"9,001,486,202,009",2009,Monroe,35.98,7,19456
"9,001,185,002,000",2000,Danbury,177.69,133,74848
"9,007,153,502,005",2005,Clinton,,,13177
"9,013,379,101,999",1999,Hebron,69.69,6,8610
"9,009,499,502,008",2008,Naugatuck,100.99,32,31687
"9,013,859,502,010",2010,Willington,49.66,3,6041
"9,011,159,102,005",2005,Colchester,,,15310
"9,003,849,002,006",2006,Wethersfield,128.26,34,26509
"9,009,032,501,999",1999,Beacon Falls,152.5,8,5246
"9,011,489,002,009",2009,Montville,102.73,20,19469
"9,013,859,502,006",2006,Willington,0,0,6008
"9,009,032,501,998",1998,Beacon Falls,152.5,8,5246
"9,003,504,402,008",2008,New Britain,377.37,275,72872
"9,001,863,702,010",2010,Wilton,0,0,18062
"9,005,160,502,005",2005,Colebrook,,,1478
"9,003,849,002,010",2010,Wethersfield,90,24,26668
"9,005,494,602,009",2009,Morris,42.03,1,2379
"9,003,043,001,998",1998,Berlin,43.92,8,18215
"9,001,863,702,006",2006,Wilton,11.18,2,17890
"9,001,505,802,008",2008,New Canaan,25.42,5,19669
"9,007,191,301,999",1999,Deep River,477.22,22,4610
"9,013,164,002,005",2005,Columbia,,,5228
"9,009,499,502,009",2009,Naugatuck,91.27,29,31775
"9,005,372,801,999",1999,Harwinton,75.71,4,5283
"9,005,795,102,002",2002,Warren,154.44,2,1295
"9,009,045,801,998",1998,Bethany,19.84,1,5040
"9,001,508,602,008",2008,New Fairfield,28.79,4,13895
"9,015,867,902,010",2010,Windham,209.75,53,25268
"92,005",2005,Connecticut,,,3489831
"9,005,864,402,006",2006,Winchester,290.62,32,11011
"9,003,504,402,009",2009,New Britain,399.79,292,73039
"9,013,449,102,003",2003,Mansfield,53.41,12,22467
"9,001,047,201,998",1998,Bethel,83.02,15,18067
"9,003,870,002,010",2010,Windsor,79.19,23,29044
"9,005,172,402,005",2005,Cornwall,,,1427
"9,015,867,902,006",2006,Windham,32.92,8,24304
"9,005,513,502,008",2008,New Hartford,58.88,4,6794
"9,003,870,002,006",2006,Windsor,80.08,23,28721
"9,009,520,702,008",2008,New Haven,1728.54,2222,128548
"9,001,505,802,009",2009,New Canaan,15.23,3,19704
"9,005,049,301,998",1998,Bethlehem,87.67,3,3422
"9,009,787,402,002",2002,Wallingford,73.65,32,43448
"9,001,508,602,009",2009,New Fairfield,14.4,2,13888
"9,013,178,002,005",2005,Coventry,,,11970
"9,003,371,401,999",1999,Hartland,0,0,2012
"9,011,523,502,008",2008,New London,738.16,201,27230
"9,005,864,402,010",2010,Winchester,204.59,23,11242
"9,011,570,402,000",2000,Old Lyme,148.53,11,7406
"9,003,870,702,006",2006,Windsor Locks,121.79,15,12316
"9,003,059,101,998",1998,Bloomfield,321.64,63,19587
"9,005,513,502,009",2009,New Hartford,29.06,2,6882
"9,007,180,802,005",2005,Cromwell,,,13438
"9,009,875,602,006",2006,Wolcott,37.28,6,16094
"9,005,526,302,008",2008,New Milford,42.95,12,27938
"9,009,877,002,010",2010,Woodbridge,11.12,1,8990
"9,001,185,002,005",2005,Danbury,,,77871
"9,003,870,702,010",2010,Windsor Locks,208.03,26,12498
"9,009,520,702,009",2009,New Haven,1696.29,2191,129164
"9,003,043,001,999",1999,Berlin,27.45,5,18215
"9,009,877,002,006",2006,Woodbridge,44.51,4,8987
"9,003,521,402,008",2008,Newington,79.18,24,30311
"9,013,062,601,998",1998,Bolton,99.66,5,5017
"9,001,188,502,005",2005,Darien,,,20170
"9,009,875,602,010",2010,Wolcott,23.98,4,16680
"9,011,523,502,009",2009,New London,984.5,270,27425
"9,011,068,201,998",1998,Bozrah,212.13,5,2357
"9,001,529,802,008",2008,Newtown,7.39,2,27054
"9,015,881,902,010",2010,Woodstock,25.11,2,7964
"9,005,027,601,999",1999,Barkhamsted,85.86,3,3494
"9,005,879,102,006",2006,Woodbury,20.7,2,9664
"9,005,526,302,009",2009,New Milford,64.19,18,28040
"9,007,191,302,005",2005,Deep River,,,4620
"9,011,786,002,002",2002,Voluntown,117.97,3,2543
"9,009,141,602,000",2000,Cheshire,24.52,7,28543
"9,009,195,502,005",2005,Derby,,,12647
"9,015,881,902,006",2006,Woodstock,65.21,5,7667
"9,009,073,101,998",1998,Branford,132.48,38,28683
"9,013,010,802,007",2007,Andover,0,0,3223
"9,009,538,902,008",2008,North Branford,90.86,13,14307
"9,005,534,702,008",2008,Norfolk,117.72,2,1699
"9,001,080,701,998",1998,Bridgeport,1429.09,1994,139529
"9,001,529,802,009",2009,Newtown,29.3,8,27307
"9,015,138,102,000",2000,Chaplin,133.33,3,2250
"9,007,208,102,005",2005,Durham,,,7008
"9,003,370,701,999",1999,Hartford,1221.44,1485,121578
"9,005,540,302,008",2008,North Canaan,90.31,3,3322
"9,005,879,102,010",2010,Woodbury,50.13,5,9975
"9,003,220,702,005",2005,East Granby,,,4947
"9,009,012,202,007",2007,Ansonia,199.57,38,19041
"9,005,082,101,998",1998,Bridgewater,164.47,3,1824
"9,003,521,402,009",2009,Newington,88.71,27,30436
"9,013,782,502,002",2002,Vernon,141.41,40,28286
"9,015,014,302,007",2007,Ashford,70.57,3,4251
"9,013,692,202,000",2000,Somers,86.4,9,10417
"9,005,534,702,009",2009,Norfolk,0,0,1704
"9,007,222,802,005",2005,East Haddam,,,8730
"9,013,782,502,003",2003,Vernon,130.29,37,28398
"9,003,084,901,998",1998,Bristol,411.24,247,60062
"9,003,020,602,007",2007,Avon,17.22,3,17418
"9,015,610,302,000",2000,Pomfret,184.31,7,3798
"9,009,548,702,008",2008,North Haven,54.44,13,23881
"9,007,224,902,005",2005,East Hampton,,,13156
"9,011,555,002,008",2008,North Stonington,38.2,2,5236
"9,015,360,001,999",1999,Hampton,0,0,1758
"9,001,560,602,008",2008,Norwalk,488.99,416,85073
"9,005,540,302,009",2009,North Canaan,120.52,4,3319
"9,007,143,002,000",2000,Chester,160.3,6,3743
"9,001,089,801,998",1998,Brookfield,63.84,10,15664
"9,009,538,902,009",2009,North Branford,34.83,5,14357
"9,003,226,302,005",2005,East Hartford,,,50414
"9,009,032,502,007",2007,Beacon Falls,86.09,5,5808
"9,011,068,201,999",1999,Bozrah,296.99,7,2357
